,id,internationalId,legacyId,name,internationalName,description,type,headline,price,url,salesMultiple,unitQuantity,maxOrderQuantity,available,inStock,pushRatingEnabled,technologies,hidePrice,intensity,ranges,cupSizes,flavors,packagingType,image.url,image.altText
0,erp.uk.b2c/prod/MILD22_VL12,129589,MILD22_VL12,Mild Coffee 120 Capsule Assortment,VER - Mild Coffees 120 Pack,,capsule,,73.3,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-mild-coffee-pack,1,120,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-range-coffee-assortments-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-new']",[],[],,/ecom/medias/sys_master/public/15864210620446/MILD22-VL12.png,
1,erp.uk.b2c/prod/DECAF22_VL9,127722,DECAF22_VL9,Decaf and Half Caff 90 Capsule Assortment,VER - Decaf 90 Pack,,capsule,,50.5,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-decaf-and-half-caff-pack,1,90,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-range-coffee-assortments-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-new']",[],[],,/ecom/medias/sys_master/public/15377047683102/Decaf-Pack-DECAF22-VL9.png,
2,erp.uk.b2c/prod/SUMM22_VL12,129589,SUMM22_VL12,Summer Iced 120 Capsule Assortment,VER - Summer 22 120 Pack,,capsule,,74.2,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-summer-iced-assortment,1,120,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,['nesclub2.uk.b2c/cat/capsule-range-coffee-assortments-vertuo'],[],[],,/ecom/medias/sys_master/public/15864206360606/SUMM22-VL12.png,
3,erp.uk.b2c/prod/SORIGIN22_VL9,127722,SORIGIN22_VL9,Single Origin Pack,VER - Single Origin 90 Pack,,capsule,,63.5,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-single-origin-pack,1,90,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,['nesclub2.uk.b2c/cat/capsule-range-coffee-assortments-vertuo'],[],[],,/ecom/medias/sys_master/public/15864971100190/SORIGIN22-VL9.png,
4,erp.uk.b2c/prod/BOOST22_VL9,127722,BOOST22_VL9,Wellness Boost Pack,VER - Wellness Boost 90 Pack,,capsule,,59.4,https://www.nespresso.com//uk/en/order/capsules/vertuo/wellness-boost-pack,1,90,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,['nesclub2.uk.b2c/cat/capsule-range-coffee-assortments-vertuo'],[],[],,/ecom/medias/sys_master/public/15864735924254/BOOST22-VL9.png,
5,erp.uk.b2c/prod/LONG22_VL12,129589,LONG22_VL12,MONTHLY FAVOURITES LONG CUP 120 ASSORTMENT,VER - Long Cup 120 Pack,,capsule,,80.4,https://www.nespresso.com//uk/en/order/capsules/vertuo/monthly-favourites-long-cup-120-assortment,1,120,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,['nesclub2.uk.b2c/cat/capsule-range-coffee-assortments-vertuo'],[],[],,/ecom/medias/sys_master/public/15951888220190/Monthly-Fave-Long-LONG22-VL12.png,
6,erp.uk.b2c/prod/7247.50,7247.50,7247.50,Exotic Liminha Over Ice,VER - Liminha LE R5,,capsule,FOR EXOTIC RECIPES OVER ICE,0.58,https://www.nespresso.com//uk/en/order/capsules/vertuo/exotic-liminha-over-ice-coffee-pod,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-cold-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-limited-edition', 'nesclub2.uk.b2c/cat/capsule-range-label-perfect-with-ice']","['nesclub2.uk.b2c/cat/capsule-cupSize-double-espresso-vertuo', 'nesclub2.uk.b2c/cat/capsule-cupSize-icedRecipe-vertuo']",[],,/ecom/medias/sys_master/public/15431416021022/Exotic-Liminha-VL-PLP-Before-318x318-2022.png,Exotic Liminha Over Ice Vertuo
7,erp.uk.b2c/prod/7226.50,7226.50,7226.50,Tropical Coconut Over Ice,VER - BC Coconut LE R5,,capsule,FOR EXOTIC RECIPES OVER ICE,0.69,https://www.nespresso.com//uk/en/order/capsules/vertuo/tropical-coconut-ice-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-cold-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-limited-edition', 'nesclub2.uk.b2c/cat/capsule-range-label-perfect-with-ice']","['nesclub2.uk.b2c/cat/capsule-cupSize-coffee', 'nesclub2.uk.b2c/cat/capsule-cupSize-icedRecipe-vertuo']",['nesclub2.uk.b2c/cat/capsule-aromatic-coconut'],,/ecom/medias/sys_master/public/15431145095198/PLP-Before-318x318.png,Tropical Coconut Flavour over Ice Vertuo
8,erp.uk.b2c/prod/7205.50,7205.50,7205.50,Ice Forte,VER - BC Ice Forte LE R5,,capsule,FOR INTENSE RECIPES WITH ICE,0.67,https://www.nespresso.com//uk/en/order/capsules/vertuo/ice-forte-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-cold-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-perfect-with-ice']","['nesclub2.uk.b2c/cat/capsule-cupSize-coffee', 'nesclub2.uk.b2c/cat/capsule-cupSize-icedRecipe-vertuo']",[],,/ecom/medias/sys_master/public/15389833166878/C-0920-ice-forte-XL-responsive-plp-image.png,Ice Forte
9,erp.uk.b2c/prod/7223.50,7223.50,7223.50,Ice Leggero,VER - BC Ice Leggero LE R5,,capsule,FOR MILD RECIPES WITH ICE,0.56,https://www.nespresso.com//uk/en/order/capsules/vertuo/ice-leggero-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-cold-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-perfect-with-ice']","['nesclub2.uk.b2c/cat/capsule-cupSize-double-espresso-vertuo', 'nesclub2.uk.b2c/cat/capsule-cupSize-icedRecipe-vertuo']",[],,/ecom/medias/sys_master/public/15390013358110/C-0919-Responsive-plp-image.png,Ice Leggero
10,erp.uk.b2c/prod/7293.50,7293.50,7293.50,Cafecito de Puerto Rico,VER - RO Puerto Rico R5,,capsule,THE COME BACK,1.1,https://www.nespresso.com//uk/en/order/capsules/vertuo/puerto-rico-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,10,['nesclub2.uk.b2c/cat/capsule-range-origins'],['nesclub2.uk.b2c/cat/capsule-cupSize-double-espresso-vertuo'],['nesclub2.uk.b2c/cat/capsule-aromatic-intense'],,/ecom/medias/sys_master/public/14787822354462/C-0521-VL-PuertoRico-plp-image-XL.png,
11,erp.uk.b2c/prod/7238.50,7238.50,7238.50,AMAHA awe UGANDA ,VER - RO Uganda R5,,capsule,FLORAL AND WILD,0.82,https://www.nespresso.com//uk/en/order/capsules/vertuo/reviving-origins-amaha-awe-uganda-vertuo,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,6,['nesclub2.uk.b2c/cat/capsule-range-origins'],['nesclub2.uk.b2c/cat/capsule-cupSize-gran-lungo'],[],,/ecom/medias/sys_master/public/14473914056734/reviving-origins-uganda-XL.png,
12,erp.uk.b2c/prod/7236.70,7236.70,7236.70,Café de Cuba,VER - RO Cuba R7,,capsule,LATIN PASSION,1.5,https://www.nespresso.com//uk/en/order/capsules/vertuo/cafe-de-cuba-vertuo-coffee-pods,10,1,,False,False,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,8,['nesclub2.uk.b2c/cat/capsule-range-origins'],['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/15719526727710/C-0519-ResponsivePLPImage.png,
13,erp.uk.b2c/prod/7190.50,7190.50,7190.50,Vivida B12,VER - Vivida Vitamin B12 R5,,capsule,,0.76,https://www.nespresso.com//uk/en/order/capsules/vertuo/vivida-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,0,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-new', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml', 'nesclub2.uk.b2c/cat/capsule-range-label-Additional-B12']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/15519390531614/PLP-Before-318x318.png,Vivida Coffee Capsule
14,erp.uk.b2c/prod/7189.50,7189.50,7189.50,Stormio Boost,VER - BOOST Stormio R5,,capsule,,0.76,https://www.nespresso.com//uk/en/order/capsules/vertuo/stormio-boost-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,8,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-new', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml', 'nesclub2.uk.b2c/cat/capsule-range-label-Additional-Caffeine']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],['nesclub2.uk.b2c/cat/capsule-aromatic-spicy'],,/ecom/medias/sys_master/public/14843329839134/PLP-Before-318x318.png,
15,erp.uk.b2c/prod/7188.50,7188.50,7188.50,Melozio Boost,VER - BOOST Melozio R5,,capsule,,0.76,https://www.nespresso.com//uk/en/order/capsules/vertuo/melozio-boost-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,6,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-new', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml', 'nesclub2.uk.b2c/cat/capsule-range-label-Additional-Caffeine']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/14830537736222/PLP-Before-318x318.png,
16,erp.uk.b2c/prod/7149.50,7149.50,7149.50,Solelio,VER - Solelio R5,,capsule,FRUITY AND LIGHT-BODIED,0.59,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-solelio,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,2,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],['nesclub2.uk.b2c/cat/capsule-aromatic-fruity'],,/ecom/medias/sys_master/public/14446443167774/solelio-XL.png,
17,erp.uk.b2c/prod/7150.50,7150.50,7150.50,Half Caffeinato,VER - Half Caffeinato R5,,capsule,Sweet and velvety,0.61,https://www.nespresso.com//uk/en/order/capsules/vertuo/nespresso-half-caffeinato-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,5,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/14446338048030/half-caffeinato-XL.png,
18,erp.uk.b2c/prod/7396.50,7396.50,7396.50,Melozio Decaffeinato,VER - Melozio Decaf R5,,capsule,SMOOTH & BALANCED,0.61,https://www.nespresso.com//uk/en/order/capsules/vertuo/melozio-decaffeinato-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,6,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-decaffeinated', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/14446712553502/melozio-decaffeinato-XL.png,
19,erp.uk.b2c/prod/7145.50,7145.50,7145.50,Intenso,VER - Intenso R5,,capsule,Deep and dense,0.59,https://www.nespresso.com//uk/en/order/capsules/vertuo/intenso-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,9,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/14446332870686/intenso-XL.png,
20,erp.uk.b2c/prod/7147.50,7147.50,7147.50,Stormio,VER - Stormio R5,,capsule,RICH AND STRONG,0.59,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-stormio,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,8,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],['nesclub2.uk.b2c/cat/capsule-aromatic-intense'],,/ecom/medias/sys_master/public/14446333558814/stormio-XL.png,
21,erp.uk.b2c/prod/7148.50,7148.50,7148.50,Melozio,VER - Melozio R5,,capsule,SMOOTH AND BALANCED,0.59,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-melozio,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,6,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Mug-230ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-coffee'],[],,/ecom/medias/sys_master/public/14446335524894/melozio-XL.png,
22,erp.uk.b2c/prod/7159.50,7159.50,7159.50,Inizio,VER - Inizio R5,,capsule,FLORAL & CEREAL,0.52,https://www.nespresso.com//uk/en/order/capsules/vertuo/inizio-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,4,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Gran-Lungo-150ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-gran-lungo'],[],,/ecom/medias/sys_master/public/14446709669918/inizio-XL.png,
23,erp.uk.b2c/prod/7151.50,7151.50,7151.50,Arondio,VER - Arondio R5,,capsule,CEREAL AND MILD,0.52,https://www.nespresso.com//uk/en/order/capsules/vertuo/nespresso-arrondio-vertuo-coffee-pods,10,1,,True,True,False,['nesclub2.uk.b2c/machineTechno/vertuo'],False,6,"['nesclub2.uk.b2c/cat/capsule-range-coffee-vertuo', 'nesclub2.uk.b2c/cat/capsule-range-label-Gran-Lungo-150ml']",['nesclub2.uk.b2c/cat/capsule-cupSize-gran-lungo'],[],,/ecom/medias/sys_master/public/14446108835870/arondio-XL.png,
